Chapter,Pattern,Page,Type,Kanji,Kana,Meaning
1,1,1,Pattern,私はジョン・ハリスだ/です。,わたしはジョン・ハリスだ/です。,"(As for myself,) I am John Harris. (INTRODUCING ONESELF)"
1,1,1,Pattern,私がジョン・ハリスだ/です。,わたしがジョン・ハリスだ/です。,I am (the one whose name is) John Harris.
1,1,3,Example,私はアメリカ人です。,わたしはアメリカじんです。,I am an American.
1,1,3,Example,彼女は看護師だ。,かのじょはかんごしだ。,She is a nurse.
1,1,3,Example,トムは学生です。,トムはがくせいです。,Tom is a student.
1,1,3,Example,あの人が担当者です。,あのひとがたんとうしゃです。,He (newly introduced) is the person in charge.
1,1,3,Example,サラが栄養士だ。,サラがえいようしだ。,Sarah (not Linda) is a dietician.
1,1,4,Practice,彼女は歌手だ/です。,かのじょはかしゅだ/です。,She is a singer.
1,1,4,Practice,私がエンジニアだ/です。,わたしがエンジニアだ/です。,I (not Bill) am an engineer.
1,1,4,Practice,アンは会社員だ/です。,アンはかいしゃいんだ/です。,Anne is a company employee.
1,1,4,Practice,あの人が建築家だ/です。,あのひとがけんちくかだ/です。,He (newly introduced) is an architect.
1,2,4,Pattern,小田さんは日本語の先生だ/です。,おださんはにほんごのせんせいだ/です。,Mr. Oda is a teacher of Japanese.
1,2,5,Example,ブラウンさんは私のボスです。,ブラウンさんはわたしのボスです。,Mr. Brown is my boss.
1,2,5,Example,リンダは学校の看護師だ。,リンダはがっこうのかんごしだ。,Linda is a school nurse. / Linda is a nurse for the school.
1,2,5,Example,久保秋子さんは弁護士の秘書です。,くぼあきこさんはべんごしのひしょです。,Ms. Akiko Kubo is secretary to a lawyer.
1,2,5,Example,友達の信子さんはデパートの店員です。,ともだちののぶこさんはデパートのてんいんです。,My friend Nobuko is a clerk at a department store.
1,2,6,Practice,田中さんは音楽の先生だ/です。,たなかさんはおんがくのせんせいだ/です。,Miss Tanaka is a music teacher.
1,2,6,Practice,あの人は作家の泉さんだ/です。,あのひとはさっかのいずみさんだ/です。,"He is Mr. Izumi, a writer."
1,2,6,Practice,サム・アダムスさんは私達の野球のコーチだ/です。,サム・アダムスさんはわたしたちのやきゅうのコーチだ/です。,Mr. Sam Adams is our baseball coach.
1,2,6,Practice,彼女はベンソンさんの助手だ/です。,かのじょはベンソンさんのじょしゅだ/です。,She is Mr. Benson's assistant.
1,3,6,Pattern,これは私の辞書だ/です。,これはわたしのじしょだ/です。,This is my dictionary.
1,3,6,Pattern,この辞書は私のだ/です。,このじしょはわたしのだ/です。,This dictionary is mine.
1,3,7,Example,これは課長のコートです。,これはかちょうのコートです。,This is the section chief's coat.
1,3,7,Example,あちらがジョンソンさんの車です。,あちらがジョンソンさんのくるまです。,That over there is Mr. Johnson's car.
1,3,7,Example,こちらは原先生です。,こちらははらせんせいです。,This is Professor Hara.
1,3,7,Example,この雑誌はビルのだ。,このざっしはビルのだ。,These magazines are Bill's.
1,3,7,Example,そちらの傘は木村さんのです。,そちらのかさはきむらさんのです。,That umbrella is Ms. Kimura's.
1,3,8,Practice,これは森さんの帽子だ/です。,これはもりさんのぼうしだ/です。,This is Ms. Mori's hat.
1,3,8,Practice,そのかばんは佐田さんのだ/です。,そのかばんはさださんのだ/です。,That bag is Mr. Sada's.
1,3,8,Practice,こちらは計理士の岡さんだ/です。,こちらはけいりしのおかさんだ/です。,"This is Mr. Oka, the accountant."
1,3,8,Practice,この携帯は私のだ/です。,このけいたいはわたしのだ/です。,This cell phone is mine.
1,3,8,Practice,あのビルが目黒の郵便局だ/です。,あのビルがめぐろのゆうびんきょくだ/です。,That building over there is the Meguro post office.
1,4,9,Pattern,高木さんは弁護士ですか。,たかぎさんはべんごしですか。,Is Ms. Takagi a lawyer?
1,4,9,Pattern,これは日本語ですか、中国語ですか。,これはにほんごですか、ちゅうごくごですか。,Is this Japanese or Chinese?
1,4,9,Example,成田さんは新聞社のレポーターですか。,なりたさんはしんぶんしゃのレポーターですか。,Is Ms. Narita a reporter for a newspaper (company)?
1,4,9,Example,それは課長の机ですか。,それはかちょうのつくえですか。,Is that the section chief's desk?
1,4,9,Example,三上さんはエンジニアですか、建築家ですか。,みかみさんはエンジニアですか、けんちくかですか。,Is Mr. Mikami an engineer or an architect?
1,4,9,Example,この本はあなたのですか、ビルのですか。,このほんはあなたのですか、ビルのですか。,Is this book yours or Bill's? / Is this book yours? Bill's?
1,4,10,Practice,あれは美術館ですか。,あれはびじゅつかんですか。,Is that over there an art museum?
1,4,10,Practice,これはあなたのかばんですか、原さんの（かばん）ですか。,これはあなたのかばんですか、はらさんの（かばん）ですか。,Is this your bag or Mr. Hara's (bag)?
1,4,10,Practice,八木さんは中学の先生ですか、高校の先生ですか。,やぎさんはちゅうがくのせんせいですか、こうこうのせんせいですか。,Is Mr. Yagi a middle school teacher or a high school teacher?
1,5,10,Pattern,あの人はだれですか。,あのひとはだれですか。,Who is that person?
1,5,10,Pattern,あれは何ですか。,あれはなんですか。,What is that?
1,5,11,Example,日本の首相はだれですか。,にほんのしゅしょうはだれですか。,Who is the prime minister of Japan?
1,5,11,Example,このクラスの受け持ちはだれですか。,このクラスのうけもちはだれですか。,Who is in charge of this class?
1,5,11,Example,あの塔は何ですか。,あのとうはなんですか。,What is that tower over there?
1,5,11,Example,この箱は何ですか。,このはこはなんですか。,What are these boxes?
1,5,12,Practice,この店のマネージャーはだれですか。,このみせのマネージャーはだれですか。,Who is the manager of this store?
1,5,12,Practice,あの音は何ですか。,あのおとはなんですか。,What is that noise?
1,5,12,Practice,その温泉の名前は何ですか。,そのおんせんのなまえはなんですか。,What is the name of that hot spring?
1,6,12,Pattern,私は銀行員ではない/ではありません。,わたしはぎんこういんではない/ではありません。,I am not a bank employee.
1,6,12,Example,ネルソンさんは外交官ではありません。,ネルソンさんはがいこうかんではありません。,Mr. Nelson is not a diplomat.
1,6,12,Example,私達は佐野先生の学生じゃありません。,わたしたちはさのせんせいのがくせいじゃありません。,We are not Professor Sano's students.
1,6,12,Example,これは東京駅ではありません。,これはとうきょうえきではありません。,This is not Tokyo Station.
1,6,13,Example,その鉛筆はジェフのじゃない。,そのえんぴつはジェフのじゃない。,That pencil is not Jeff's.
1,6,13,Example,あのビルは病院ではない。,あのビルはびょういんではない。,That building over there isn't a hospital.
1,6,13,Practice,野田さんはジャーナリストではない/ではありません。,のださんはジャーナリストではない/ではありません。,Ms. Noda is not a journalist.
1,6,13,Practice,彼女は幼稚園の先生じゃない/じゃありません。,かのじょはようちえんのせんせいじゃない/じゃありません。,She is not a kindergarten teacher.
1,6,13,Practice,友達のダン（さん）は写真家ではない/ではありません。,ともだちのダン（さん）はしゃしんかではない/ではありません。,My friend Dan isn't a photographer.
1,6,13,Practice,あれは学校の寮ではない/ではありません。,あれはがっこうのりょうではない/ではありません。,That (over there) is not the school dormitory.
